,Date,Team,Name,DL_length,team_id,player_id
5544,20070618, Nationals,Ryan Wagner,60,WAS,wagnr001
5546,20070619, Astros,Brad Lidge,15,HOU,lidgb001
5547,20070619, Blue Jays,A.J. Burnett,15,TOR,burna001
5548,20070619, Nationals,Alex Escobar,60,WAS,escoa002
5549,20070619, Orioles,Jaret Wright,60,BAL,wrigj002
5550,20070619, Orioles,Jon Leicester,60,BAL,leicj001
5551,20070619, Royals,Mike Sweeney,15,KCA,sweem002
5553,20070620, Indians,David Dellucci,15,CLE,delld001
5557,20070621, Royals,Scott Elarton,15,KCA,elars001
5560,20070622, Cardinals,Tyler Johnson (James),15,SLN,
5562,20070622, Devil Rays,Elijah Dukes,0,TBA,dukee001
5563,20070622, Devil Rays,Rocco Baldelli,60,TBA,baldr001
5564,20070622, Mariners,Cha-Seung Baek,15,SEA,baekc001
5566,20070622, Orioles,Miguel Tejada,15,BAL,tejam001
5568,20070622, Padres,Doug Brocail,15,SDN,brocd001
5569,20070622, Red Sox,Curt Schilling,15,BOS,schic002
5571,20070623, Phillies,Jon Lieber,15,PHI,liebj001
5572,20070623, White Sox,Darin Erstad,15,CHA,erstd001
5575,20070624, Nationals,Cristian Guzman,15,WAS,guzmc001
5576,20070624, Nationals,Jesus Colome,15,WAS,coloj001
5578,20070625, Athletics,Kiko Calero,15,OAK,calek001
5579,20070625, Rangers,Vicente Padilla,15,TEX,padiv001
5581,20070626, Cardinals,Preston Wilson,60,SLN,wilsp002
5582,20070626, Cubs,Ryan Dempster,15,CHN,dempr002
5583,20070626, Cubs,Wade Miller,60,CHN,millw001
5584,20070626, Marlins,Aaron Boone,15,MIA,boona001
5585,20070626, Tigers,Fernando Rodney,15,DET,rodnf001
5588,20070627, Indians,Aaron Fultz,15,CLE,fulta001
5589,20070627, Marlins,Cody Ross,60,MIA,rossc001
5593,20070628, Phillies,Jayson Werth,15,PHI,wertj001
5594,20070628, Phillies,Scott Mathieson,60,PHI,maths001
5595,20070629, Athletics,Chris Snelling,60,OAK,snelc001
5596,20070629, Athletics,Travis Buck,15,OAK,buckt001
5598,20070629, Tigers,Tim Byrdak,15,DET,byrdt001
5601,20070630, Orioles,Steve Trachsel,15,BAL,tracs001
5602,20070630, Phillies,Tom Gordon,60,PHI,gordt001
5603,20070630, Pirates,Chris Duffy,15,PIT,duffc001
5604,20070630, Red Sox,Joel Pineiro,15,BOS,pinej001
5605,20070630, Royals,Ryan Shealy,15,KCA,shear001
5608,20070701, Blue Jays,A.J. Burnett,15,TOR,burna001
5610,20070701, Cubs,Rocky Cherry,15,CHN,cherr001
5611,20070701, Mets,Jorge Sosa,15,NYN,sosaj002
5612,20070701, Padres,Milton Bradley,15,SDN,bradm001
5613,20070701, Pirates,Zach Duke,15,PIT,dukez001
5614,20070701, Yankees,Jeff Karstens,60,NYA,karsj001
5615,20070702, Angels,Erick Aybar,15,ANA,aybae001
5616,20070702, Angels,Mike Napoli,15,ANA,napom001
5619,20070702, Marlins,Ricky Nolasco,60,MIA,nolar001
5620,20070702, Mets,Oliver Perez,15,NYN,pereo002
5621,20070702, Nationals,Micah Bowie,15,WAS,bowim001
5622,20070702, Rangers,Ian Kinsler,15,TEX,kinsi001
5625,20070703, Devil Rays,Tim Corcoran (Hugh),60,TBA,
5626,20070703, Diamondbacks,Randy Johnson (David),15,ARI,
5628,20070703, Rockies,Jason Hirsh,15,COL,hirsj001
5629,20070703, White Sox,Scott Podsednik,15,CHA,podss001
5631,20070704, Devil Rays,Alberto Reyes,15,TBA,reyea001
5632,20070704, Dodgers,Randy Wolf,15,LAN,wolfr001
5633,20070704, Giants,Jonathan Sanchez,15,SFN,sancj002
5634,20070704, Orioles,Scott Williamson,15,BAL,wills002
5635,20070704, Dodgers,Hung-Chih Kuo,15,LAN,
5636,20070705, Marlins,Josh Johnson (Michael),15,MIA,
5637,20070705, Mets,Carlos Gomez (Argelis),15,NYN,
5641,20070706, Braves,John Smoltz,15,ATL,smolj001
5642,20070706, Brewers,Bill Hall,15,MIL,hallb001
5644,20070706, Red Sox,Matt Clement,60,BOS,clemm001
5646,20070706, Tigers,Vance Wilson,60,DET,wilsv001
5647,20070706, White Sox,Mike MacDougal,15,CHA,macdm001
5649,20070707, Orioles,Freddie Bynum,15,BAL,bynuf001
5650,20070707, Padres,Termel Sledge,15,SDN,
5654,20070707, Reds,Juan Castro,15,CIN,castj004
5662,20070712, Athletics,Andrew Brown,15,OAK,browa003
5663,20070712, Athletics,Justin Duchscherer,60,OAK,duchj001
5664,20070712, Athletics,Rich Harden,15,OAK,hardr001
5666,20070712, Cardinals,Todd Wellemeyer,15,SLN,wellt002
5669,20070712, Reds,Josh Hamilton,15,CIN,hamij003
5671,20070713, Angels,Chris Resop,15,ANA,resoc001
5673,20070713, Braves,Wilfredo Ledezma,0,ATL,
5674,20070713, Cubs,Mark Prior,60,CHN,priom001
5675,20070713, Indians,David Dellucci,60,CLE,delld001
5677,20070713, Rockies,Brian Fuentes,15,COL,fuenb001
5678,20070713, Royals,Reggie Sanders (Laverne),60,KCA,
5680,20070714, Angels,Howie Kendrick,15,ANA,kendh001
5682,20070714, Orioles,Melvin Mora,15,BAL,moram002
5683,20070714, Phillies,Jon Lieber,60,PHI,liebj001
5684,20070714, Royals,Roman Colon,60,KCA,color001
5687,20070715, Cardinals,Scott Spiezio,15,SLN,spies001
5688,20070715, Dodgers,Chin-Hui Tsao,15,LAN,
5691,20070715, Phillies,Freddy Garcia (Antonio),60,PHI,
5693,20070715, Pirates,Jose Bautista (Antonio),15,PIT,
5696,20070716, Brewers,Ben Sheets,15,MIL,sheeb001
5698,20070716, Royals,John Thomson,15,KCA,thomj005
5701,20070717, White Sox,Joe Crede,60,CHA,credj001
5712,20070719, Rangers,Akinori Otsuka,15,TEX,otsua001
5713,20070719, Reds,Eric Milton,60,CIN,milte001
5714,20070719, Tigers,Marcus Thames,15,DET,thamm001
5716,20070720, Cubs,Daryle Ward,15,CHN,wardd002
5717,20070720, Nationals,Jason Simontacchi,15,WAS,simoj001
5720,20070720, Twins,Michael Cuddyer,15,MIN,cuddm001
5721,20070720, Yankees,Doug Mientkiewicz,60,NYA,miend001
5724,20070721, Mets,Jose Valentin (A.),15,NYN,
5725,20070721, Reds,Alex Gonzalez (F.),0,CIN,
5726,20070721, Rockies,Zach McClellan,60,COL,mcclz001
5728,20070723, Astros,Hunter Pence,15,HOU,pench001
5729,20070723, Devil Rays,Jay Witasick,15,TBA,witaj001
5731,20070724, Angels,Bartolo Colon,15,ANA,colob001
5732,20070724, Mariners,Sean White,60,SEA,whits002
5734,20070724, White Sox,Luis Terrero,15,CHA,terrl001
5737,20070725, Athletics,Bobby Crosby,15,OAK,crosb002
5739,20070725, Orioles,Chris Ray (Thomas),15,BAL,
5742,20070726, Phillies,Chase Utley,15,PHI,utlec001
5744,20070726, Reds,Pedro Lopez (Michel),15,CIN,
5746,20070726, Twins,Josh Rabe,60,MIN,rabej001
5748,20070727, Nationals,Jason Bergmann,15,WAS,bergj001
5751,20070728, Angels,Mike Napoli,15,ANA,napom001
5752,20070728, Padres,Chris Young (Ryan),15,SDN,
5754,20070729, Phillies,Ryan Madson,15,PHI,madsr001
5755,20070729, Tigers,Kenny Rogers,15,DET,rogek001
5756,20070730, Blue Jays,Gustavo Chacin,15,TOR,chacg001
5757,20070730, Mariners,Chris Reitsma,15,SEA,reitc001
5759,20070731, Mets,Carlos Beltran,15,NYN,beltc001
5760,20070731, Phillies,Michael Bourn,15,PHI,bourm001
5761,20070731, Phillies,Shane Victorino,15,PHI,victs001
5763,20070731, Reds,Juan Castro,15,CIN,castj004
5767,20070801, Rockies,Rodrigo Lopez,15,COL,loper001
5768,20070801, Royals,Jorge De La Rosa,15,KCA,
5769,20070801, Royals,Reggie Sanders (Laverne),15,KCA,
5773,20070802, Diamondbacks,Carlos Quentin,15,ARI,quenc001
5776,20070803, Astros,Chris Sampson,15,HOU,sampc001
5777,20070803, Athletics,Eric Chavez,15,OAK,chave001
5778,20070803, Braves,Edgar Renteria,15,ATL,rente001
5779,20070803, Cubs,Angel Guzman,60,CHN,guzma001
5781,20070803, Diamondbacks,Randy Johnson (David),60,ARI,
5782,20070803, Marlins,Renyel Pinto,15,MIA,pintr001
5783,20070803, Phillies,Francisco Rosario,60,PHI,
5784,20070803, Phillies,Rod Barajas,15,PHI,barar001
5785,20070803, Rangers,Kameron Loe,15,TEX,loe-k001
5787,20070804, Giants,Rich Aurilia,15,SFN,aurir001
5788,20070804, Tigers,Andrew Miller (Mark),15,DET,
5792,20070806, Cardinals,Mike Maroth,15,SLN,marom001
5794,20070806, Cubs,Alfonso Soriano,15,CHN,soria001
5798,20070807, Reds,Ryan Freel,15,CIN,freer001
5801,20070808, Cubs,Angel Pagan,15,CHN,pagaa001
5804,20070808, Rangers,Jerry Hairston Jr.,15,TEX,
5805,20070808, Rockies,Edwin Bellorin,15,COL,belle002
5806,20070808, Twins,Brian Buscher,15,MIN,buscb001
5808,20070809, Brewers,Tony Graffanino,15,MIL,graft001
5809,20070809, Cardinals,Scott Spiezio,0,SLN,spies001
5811,20070809, Rockies,Jason Hirsh,15,COL,hirsj001
