"Team","Season","Name","DL_length","team_id","player_id","Age","W","L","ERA","WAR","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K_9","BB_9","K_BB","H_9","HR_9","AVG","WHIP","BABIP","LOB_pct","FIP","GB_FB","LD_pct","GB_pct","IFFB_pct","HR_FB","IFH_pct","BUH_pct","Starting","Start_IP","Relieving","Relief_IP","RAR","Dollars","tERA","xFIP","WPA","X_WPA","pos_WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA_LI","Clutch","FB_pct","FBv","SL_pct","SLv","CT_pct","CTv","CB_pct","CBv","CH_pct","CHv","SF_pct","SFv","KN_pct","KNv","XX_pct","PO_pct","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB_C","wSL_C","wCT_C","wCB_C","wCH_C","wSF_C","wKN_C","O_Swing_pct","Z_Swing_pct","Swing_pct","O_Contact_pct","Z_Contact_pct","Contact_pct","Zone_pct","F_Strike_pct","SwStr_pct","HLD","SD","MD","ERA_n","FIP_n","xFIP_n","K_pct","BB_pct","SIERA","RS_9","E_F","FA_pct_pfx","FT_pct_pfx","FC_pct_pfx","FS_pct_pfx","FO_pct_pfx","SI_pct_pfx","SL_pct_pfx","CU_pct_pfx","KC_pct_pfx","EP_pct_pfx","CH_pct_pfx","SC_pct_pfx","KN_pct_pfx","UN_pct_pfx","vFA_pfx","vFT_pfx","vFC_pfx","vFS_pfx","vFO_pfx","vSI_pfx","vSL_pfx","vCU_pfx","vKC_pfx","vEP_pfx","vCH_pfx","vSC_pfx","vKN_pfx","FA_X_pfx","FT_X_pfx","FC_X_pfx","FS_X_pfx","FO_X_pfx","SI_X_pfx","SL_X_pfx","CU_X_pfx","KC_X_pfx","EP_X_pfx","CH_X_pfx","SC_X_pfx","KN_X_pfx","FA_Z_pfx","FT_Z_pfx","FC_Z_pfx","FS_Z_pfx","FO_Z_pfx","SI_Z_pfx","SL_Z_pfx","CU_Z_pfx","KC_Z_pfx","EP_Z_pfx","CH_Z_pfx","SC_Z_pfx","KN_Z_pfx","wFA_pfx","wFT_pfx","wFC_pfx","wFS_pfx","wFO_pfx","wSI_pfx","wSL_pfx","wCU_pfx","wKC_pfx","wEP_pfx","wCH_pfx","wSC_pfx","wKN_pfx","wFA_C_pfx","wFT_C_pfx","wFC_C_pfx","wFS_C_pfx","wFO_C_pfx","wSI_C_pfx","wSL_C_pfx","wCU_C_pfx","wKC_C_pfx","wEP_C_pfx","wCH_C_pfx","wSC_C_pfx","wKN_C_pfx","O_Swing_pct_pfx","Z_Swing_pct_pfx","Swing_pct_pfx","O_Contact_pct_pfx","Z_Contact_pct_pfx","Contact_pct_pfx","Zone_pct_pfx","Pace","RA9_WAR","BIP_Wins","LOB_Wins","FDP_Wins","Age_Rng","K_BB_pct","Pull_pct","Cent_pct","Oppo_pct","Soft_pct","Med_pct","Hard_pct","kwERA","TTO_pct","CH_pct_pi","CS_pct_pi","CU_pct_pi","FA_pct_pi","FC_pct_pi","FS_pct_pi","KN_pct_pi","SB_pct_pi","SI_pct_pi","SL_pct_pi","XX_pct_pi","vCH_pi","vCS_pi","vCU_pi","vFA_pi","vFC_pi","vFS_pi","vKN_pi","vSB_pi","vSI_pi","vSL_pi","vXX_pi","CH_X_pi","CS_X_pi","CU_X_pi","FA_X_pi","FC_X_pi","FS_X_pi","KN_X_pi","SB_X_pi","SI_X_pi","SL_X_pi","XX_X_pi","CH_Z_pi","CS_Z_pi","CU_Z_pi","FA_Z_pi","FC_Z_pi","FS_Z_pi","KN_Z_pi","SB_Z_pi","SI_Z_pi","SL_Z_pi","XX_Z_pi","wCH_pi","wCS_pi","wCU_pi","wFA_pi","wFC_pi","wFS_pi","wKN_pi","wSB_pi","wSI_pi","wSL_pi","wXX_pi","wCH_C_pi","wCS_C_pi","wCU_C_pi","wFA_C_pi","wFC_C_pi","wFS_C_pi","wKN_C_pi","wSB_C_pi","wSI_C_pi","wSL_C_pi","wXX_C_pi","O_Swing_pct_pi","Z_Swing_pct_pi","Swing_pct_pi","O_Contact_pct_pi","Z_Contact_pct_pi","Contact_pct_pi","Zone_pct_pi","Pace_pi"
" Red Sox",2006,"Mike Timlin",15,"BOS","timlm001",40,6,6,4.36,0.2,68,0,0,0,9,8,64,279,78,33,31,7,16,4,2,3,0,30,90,89,48,10,317,708,1025,33,6,4,2,4.22,2.25,1.88,10.97,0.98,0.299,1.47,0.317,0.731,4.47,1.01,0.212,0.397,0.112,0.079,0.067,0.5,0,0,2.6,64,2.6,"$1.2",5.02,5.01,-0.09,-9.61,9.53,1.45,0.12,1.93,1.62,1.79,1.88,46,0.06,-0.11,0.656,91.5,0.042,85.6,0.213,89.3,0.034,78.8,0.018,83.4,0.036,83.1,0,0,0.029,0.005,-4.7,0.4,1.7,-0.5,1.5,-1.5,0,-0.73,0.99,0.8,-1.48,8.29,-4.15,0,0.28,0.712,0.533,0.633,0.896,0.838,0.586,0.67,0.085,21,31,15,92,101,111,0.108,0.057,4.77,4.64,-0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,-0.4,0.8,0.5,"40 - 40",0.05,0.372,0.333,0.294,0.126,0.589,0.286,4.93,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" Red Sox",2007,"Mike Timlin",15,"BOS","timlm001",41,2,1,3.42,0,50,0,0,0,1,0,55.1,222,46,23,21,7,14,3,3,0,0,31,65,76,27,10,251,507,758,28,4,6,3,5.04,2.28,2.21,7.48,1.14,0.224,1.08,0.234,0.752,4.69,0.86,0.161,0.387,0.132,0.092,0.062,0.5,0,0,0,55.1,0,"$0.0",4.49,4.76,1.18,-2.01,3.18,8.57,0.8,0.76,0.71,0.83,0.84,31,0.48,1.06,0.604,90.3,0.053,85,0.273,87.8,0.01,77.4,0.048,82.3,0.013,82.6,0,0,0.061,0,-3,2.5,8.4,-0.2,3.2,0.6,0,-0.69,6.59,4.32,-3.19,9.48,6.74,0,0.322,0.681,0.508,0.672,0.913,0.839,0.517,0.671,0.081,8,11,4,73,108,107,0.14,0.063,4.43,4.55,-1.27,0.523,0,0.147,0.042,0,0.006,0.231,0.003,0,0,0.048,0,0,0,90.7,0,88.2,85.9,0,88.2,85.1,76.2,0,0,83,0,0,-5.3,0,-0.4,-9.3,0,-9.9,1.4,6.8,0,0,-4.5,0,0,9.7,0,8.1,3.3,0,6.2,4.2,-3.7,0,0,6.9,0,0,-2.2,0,3.9,0.6,0,0.2,1.2,0.3,0,0,1.3,0,0,-1.27,0,8.06,4.26,0,12.05,1.61,33.98,0,0,7.89,0,0,0.351,0.668,0.544,0.544,0.926,0.829,0.607,27.1,0.8,0.8,0,0.8,"41 - 41",0.077,0.362,0.425,0.213,0.178,0.494,0.328,4.58,0.234,0.049,0,0.039,0.388,0.288,0,0,0,0.172,0.059,0.005,65,0,47.7,80.4,86.9,0,0,0,87,69.7,70.1,-6.5,0,1.6,-3.9,0.4,0,0,0,-8.9,0.2,-0.9,4.7,0,0.1,9.3,6.5,0,0,0,6,1.4,11.6,2,0,0.6,-0.5,3.4,0,0,0,-1.7,0.4,0.3,10.35,0,3.98,-0.35,3,0,0,0,-2.47,1.78,15.3,0.393,0.673,0.545,0.614,0.93,0.826,0.542,12
" Red Sox",2007,"Mike Timlin",15,"BOS","timlm001",41,2,1,3.42,0,50,0,0,0,1,0,55.1,222,46,23,21,7,14,3,3,0,0,31,65,76,27,10,251,507,758,28,4,6,3,5.04,2.28,2.21,7.48,1.14,0.224,1.08,0.234,0.752,4.69,0.86,0.161,0.387,0.132,0.092,0.062,0.5,0,0,0,55.1,0,"$0.0",4.49,4.76,1.18,-2.01,3.18,8.57,0.8,0.76,0.71,0.83,0.84,31,0.48,1.06,0.604,90.3,0.053,85,0.273,87.8,0.01,77.4,0.048,82.3,0.013,82.6,0,0,0.061,0,-3,2.5,8.4,-0.2,3.2,0.6,0,-0.69,6.59,4.32,-3.19,9.48,6.74,0,0.322,0.681,0.508,0.672,0.913,0.839,0.517,0.671,0.081,8,11,4,73,108,107,0.14,0.063,4.43,4.55,-1.27,0.523,0,0.147,0.042,0,0.006,0.231,0.003,0,0,0.048,0,0,0,90.7,0,88.2,85.9,0,88.2,85.1,76.2,0,0,83,0,0,-5.3,0,-0.4,-9.3,0,-9.9,1.4,6.8,0,0,-4.5,0,0,9.7,0,8.1,3.3,0,6.2,4.2,-3.7,0,0,6.9,0,0,-2.2,0,3.9,0.6,0,0.2,1.2,0.3,0,0,1.3,0,0,-1.27,0,8.06,4.26,0,12.05,1.61,33.98,0,0,7.89,0,0,0.351,0.668,0.544,0.544,0.926,0.829,0.607,27.1,0.8,0.8,0,0.8,"41 - 41",0.077,0.362,0.425,0.213,0.178,0.494,0.328,4.58,0.234,0.049,0,0.039,0.388,0.288,0,0,0,0.172,0.059,0.005,65,0,47.7,80.4,86.9,0,0,0,87,69.7,70.1,-6.5,0,1.6,-3.9,0.4,0,0,0,-8.9,0.2,-0.9,4.7,0,0.1,9.3,6.5,0,0,0,6,1.4,11.6,2,0,0.6,-0.5,3.4,0,0,0,-1.7,0.4,0.3,10.35,0,3.98,-0.35,3,0,0,0,-2.47,1.78,15.3,0.393,0.673,0.545,0.614,0.93,0.826,0.542,12
" Red Sox",2008,"Mike Timlin",15,"BOS","timlm001",42,4,4,5.66,-0.5,47,0,0,0,1,0,49.1,227,60,32,31,9,20,4,1,1,0,32,74,64,31,7,289,530,819,15,1,5,0,5.84,3.65,1.6,10.95,1.64,0.291,1.62,0.309,0.716,5.48,1.16,0.183,0.438,0.109,0.141,0.014,0,0,0,-4.6,49.1,-4.6,"($2.8)",5.64,4.82,-1.12,-3.04,1.91,-9.81,-0.95,0.68,0.52,0.64,0.91,21,-1.17,-0.48,0.623,91.4,0.043,86.1,0.261,89.1,0,0,0.073,83.7,0,0,0,0,0.026,0.005,-6.9,-2,-1.1,0,-0.6,0,0,-1.4,-6,-0.52,0,-0.97,0,0,0.297,0.694,0.5,0.598,0.902,0.814,0.511,0.661,0.092,0,6,7,125,130,111,0.141,0.088,4.48,2.74,0.17,0.321,0.249,0.221,0.104,0,0,0.105,0,0,0,0,0,0,0,91.9,91.1,89.9,83.7,0,0,87.8,0,0,0,0,0,0,-5.3,-9.8,-1.5,-7.6,0,0,1.8,0,0,0,0,0,0,10.4,5.3,7.9,5.9,0,0,5.2,0,0,0,0,0,0,0.9,-3.3,-1.8,-0.5,0,0,0.4,0,0,0,0,0,0,0.36,-1.7,-1.05,-0.59,0,0,0.47,0,0,0,0,0,0,0.325,0.661,0.501,0.691,0.872,0.816,0.522,24.2,-0.3,-0.2,0.4,0.2,"42 - 42",0.053,0.448,0.305,0.247,0.172,0.489,0.339,4.75,0.269,0.077,0,0,0.399,0.254,0,0,0,0.232,0.038,0,83.7,0,0,91.2,89.4,0,0,0,91.2,86.1,0,-8.3,0,0,-4.3,-0.2,0,0,0,-9.5,1.9,0,4.7,0,0,9.9,6.2,0,0,0,4.6,2.7,0,-0.5,0,0,0.7,-3,0,0,0,-6,-0.2,0,-0.9,0,0,0.24,-1.51,0,0,0,-3.24,-0.77,0,0.336,0.652,0.5,0.688,0.877,0.816,0.519,24.3
" Red Sox",2008,"Mike Timlin",15,"BOS","timlm001",42,4,4,5.66,-0.5,47,0,0,0,1,0,49.1,227,60,32,31,9,20,4,1,1,0,32,74,64,31,7,289,530,819,15,1,5,0,5.84,3.65,1.6,10.95,1.64,0.291,1.62,0.309,0.716,5.48,1.16,0.183,0.438,0.109,0.141,0.014,0,0,0,-4.6,49.1,-4.6,"($2.8)",5.64,4.82,-1.12,-3.04,1.91,-9.81,-0.95,0.68,0.52,0.64,0.91,21,-1.17,-0.48,0.623,91.4,0.043,86.1,0.261,89.1,0,0,0.073,83.7,0,0,0,0,0.026,0.005,-6.9,-2,-1.1,0,-0.6,0,0,-1.4,-6,-0.52,0,-0.97,0,0,0.297,0.694,0.5,0.598,0.902,0.814,0.511,0.661,0.092,0,6,7,125,130,111,0.141,0.088,4.48,2.74,0.17,0.321,0.249,0.221,0.104,0,0,0.105,0,0,0,0,0,0,0,91.9,91.1,89.9,83.7,0,0,87.8,0,0,0,0,0,0,-5.3,-9.8,-1.5,-7.6,0,0,1.8,0,0,0,0,0,0,10.4,5.3,7.9,5.9,0,0,5.2,0,0,0,0,0,0,0.9,-3.3,-1.8,-0.5,0,0,0.4,0,0,0,0,0,0,0.36,-1.7,-1.05,-0.59,0,0,0.47,0,0,0,0,0,0,0.325,0.661,0.501,0.691,0.872,0.816,0.522,24.2,-0.3,-0.2,0.4,0.2,"42 - 42",0.053,0.448,0.305,0.247,0.172,0.489,0.339,4.75,0.269,0.077,0,0,0.399,0.254,0,0,0,0.232,0.038,0,83.7,0,0,91.2,89.4,0,0,0,91.2,86.1,0,-8.3,0,0,-4.3,-0.2,0,0,0,-9.5,1.9,0,4.7,0,0,9.9,6.2,0,0,0,4.6,2.7,0,-0.5,0,0,0.7,-3,0,0,0,-6,-0.2,0,-0.9,0,0,0.24,-1.51,0,0,0,-3.24,-0.77,0,0.336,0.652,0.5,0.688,0.877,0.816,0.519,24.3
